statefips,countyfips,target
-1.1216370120068144,0.9257487670917043,2.62
-1.1216370120068144,0.9395960190840656,2.72
-1.1216370120068144,0.9533213534325731,2.65
-1.1216370120068144,0.9669272108742331,2.76
-1.1216370120068144,0.9804159565223062,2.72
-1.1216370120068144,0.9937898830202718,2.23
-1.1216370120068144,1.007051213531184,3.27
-1.1216370120068144,1.0202021045726761,2.78
-1.1216370120068144,1.033244648707185,2.66
-1.1216370120068144,1.0461808770962104,2.61
-1.1216370120068144,1.059012761926854,2.63
-1.1216370120068144,1.0717422187182857,2.62
-1.1216370120068144,1.084371108515233,2.75
-1.1216370120068144,1.096901239975142,2.83
-1.1216370120068144,1.1093343713551664,2.65
-1.1216370120068144,1.1216722124047451,2.42
-1.1216370120068144,1.146068630709014,2.55
-1.1216370120068144,1.1581304007405135,2.68
-1.1216370120068144,1.1701032692006368,2.62
-1.1216370120068144,1.181988728741578,2.76
-1.1216370120068144,1.1937882331581546,2.75
-1.1216370120068144,1.2055031987518119,2.61
-1.1216370120068144,1.2171350056346102,2.92
-1.1216370120068144,1.2286849989763475,2.88
-1.1216370120068144,1.240154490197799,2.63
-1.1216370120068144,1.2515447581128578,2.99
-1.1216370120068144,1.2628570500222107,2.5
-1.1216370120068144,1.274092582760998,2.61
-1.1216370120068144,1.2852525437027942,2.72
-1.1216370120068144,1.296338091722089,2.92
-1.1216370120068144,1.3073503581173185,2.78
-1.1216370120068144,1.318290447496402,2.55
-1.1216370120068144,1.3291594386265875,2.49
-1.1216370120068144,1.3399583852503607,2.29
-1.1216370120068144,1.3506883168690182,2.34
-1.1216370120068144,1.3613502394954493,2.54
-1.1216370120068144,1.371945136377595,2.68
-1.1216370120068144,1.382473968693921,2.91
-1.1216370120068144,1.3929376762222432,2.7
-1.1216370120068144,1.4033371779830917,2.61
-1.1216370120068144,1.4136733728588153,2.62
-1.1216370120068144,1.4239471401894883,2.76
-1.1216370120068144,1.4341593403466875,2.7
-1.1216370120068144,1.444310815286122,2.48
-1.1216370120068144,1.4544023890800324,2.58
-1.1216370120068144,1.4644348684302844,2.43
-1.1216370120068144,1.4744090431629577,2.42
-1.1216370120068144,1.4843256867052577,2.46
-1.1216370120068144,1.494185556545504,2.39
-1.1216370120068144,1.5039893946769058,2.37
-1.1216370120068144,1.5137379280258267,2.68
-1.1216370120068144,1.5234318688651736,2.53
-1.1216370120068144,1.5330719152135417,2.76
-1.1216370120068144,1.5426587512207055,2.5
-1.1216370120068144,1.552193047540004,2.34
-1.1216370120068144,1.561675461688171,2.38
-1.1216370120068144,1.5711066383931092,2.73
-1.1216370120068144,1.5804872099300973,2.63
-1.1216370120068144,1.5898177964468871,2.79
-1.1216370120068144,1.599099006278144,2.54
-1.1216370120068144,1.608331436249631,2.55
-1.1216370120068144,1.617515671972561,2.59
-1.1216370120068144,1.6266522881284764,2.88
-1.1216370120068144,1.6357418487450444,2.39
-1.1216370120068144,1.6447849074630942,2.58
-1.1216370120068144,1.65378200779525,2.64
-1.1216370120068144,1.6627336833764663,2.77
-1.1216370120068144,1.6716404582067685,2.56
-1.1216370120068144,1.6805028468864998,2.16
-1.1216370120068144,1.689321354844347,2.42
-1.1216370120068144,1.6980964785584103,2.96
-1.1216370120068144,1.7068287057705704,2.52
-1.1216370120068144,1.7155185156944066,2.45
-1.1216370120068144,1.7241663792168904,2.8
-1.1216370120068144,1.7327727590940791,2.65
-0.9772938194902119,-2.4041020414735232,2.9
-0.9772938194902119,-2.082276702982297,3.06
-0.9772938194902119,-1.86874298697019,1.37
-0.9772938194902119,-1.704660426620146,3.07
